market_id,title,subtitle,event_ticker,series_ticker,status,close_time,expiration_time,yes_ask,yes_bid,last_price,volume
KXMVECROSSCATEGORY-S20262C0E284C8D5-CA0D6D1BEC2,"yes Max Meyer: 10+,no Miami wins by over 3.5 runs,no Over 11.5 runs scored",,KXMVECROSSCATEGORY-S20262C0E284C8D5,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S20267E2B69E66CB-883614AE0A9,"no Over 232.5 points scored,no Over 252.5 points scored,no Over 239.5 points scored,no Over 240.5 points scored,no Over 251.5 points scored,no Over 240.5 points scored,yes Over 3.5 goals scored",,KXMVESPORTSMULTIGAMEEXTENDED-S20267E2B69E66CB,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B7010BA2E88-4A5A8A71283,"yes Davion Mitchell: 2+,yes Immanuel Quickley: 2+,yes Alperen Sengun: 2+,yes Amen Thompson: 2+,yes Tyrese Maxey: 4+,yes OG Anunoby: 2+,yes Jarace Walker: 2+,yes Draymond Green: 2+,yes LeBron James: 4+,yes Andrew Wiggins: 2+,yes Tyler Herro: 2+,yes Immanuel Quickley: 2+,yes Jakob Poeltl: 4+,yes RJ Barrett: 2+,yes Kevin Durant: 2+,yes Kelly Oubre Jr.: 2+,yes Paul George: 2+,yes VJ Edgecombe: 2+,yes Bryson DeChambeau,yes Hideki Matsuyama,yes Jon Rahm,yes Matt Fitzpatrick,yes Rory McIlroy,yes Scottie Scheffler,yes Tommy Fleetwood,yes Xander Schauffele",,KXMVESPORTSMULTIGAMEEXTENDED-S2026B7010BA2E88,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVECROSSCATEGORY-S20260C35ADB1938-7511C9BE078,"yes Andrew Wiggins: 15+,yes Davion Mitchell: 10+,yes Jakob Poeltl: 10+,yes RJ Barrett: 15+,yes Chicago wins by over 15.5 points",,KXMVECROSSCATEGORY-S20260C35ADB1938,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S20269E2E90CAAD1-D9E4A3FDC81,"yes Norman Powell: 1+,yes Bam Adebayo: 2+,yes Tyler Herro: 2+,yes Immanuel Quickley: 4+,yes Bilal Coulibaly: 10+,yes Norman Powell: 15+,yes Jakob Poeltl: 10+,yes Scottie Barnes: 10+,yes Karl-Anthony Towns: 8+,yes Mikal Bridges: 4+,yes Andrew Wiggins: 2+,yes Bam Adebayo: 10+,yes Tyler Herro: 2+,yes RJ Barrett: 2+,yes Scottie Barnes: 6+,no Boston wins by over 2.5 points,yes Chicago wins by over 3.5 points,no Brooklyn wins by over 1.5 points,yes Toronto wins by over 7.5 points,no Over 249.5 points scored,no Over 227.5 points scored",,KXMVESPORTSMULTIGAMEEXTENDED-S20269E2E90CAAD1,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S20263D3ECE1FA29-EFB0001914A,"yes Davion Mitchell: 2+,yes Immanuel Quickley: 2+,yes Alperen Sengun: 2+,yes Amen Thompson: 2+,yes Tyrese Maxey: 4+,yes OG Anunoby: 2+,yes Jarace Walker: 2+,yes Draymond Green: 2+,yes LeBron James: 4+,yes Andrew Wiggins: 2+,yes Tyler Herro: 2+,yes Immanuel Quickley: 2+,yes Jakob Poeltl: 4+,yes RJ Barrett: 2+,yes Kevin Durant: 2+,yes Kelly Oubre Jr.: 2+,yes Paul George: 2+,yes VJ Edgecombe: 2+,yes Hideki Matsuyama,yes Jon Rahm,yes Matt Fitzpatrick,yes Rory McIlroy,yes Scottie Scheffler,yes Tommy Fleetwood,yes Xander Schauffele",,KXMVESPORTSMULTIGAMEEXTENDED-S20263D3ECE1FA29,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVECROSSCATEGORY-S2026CF52A95D136-B57BBC6C3FB,"yes Mikal Bridges: 10+,yes Jalen Brunson: 3+",,KXMVECROSSCATEGORY-S2026CF52A95D136,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026A563E05C9EF-6C575386BCD,"yes Davion Mitchell: 2+,yes Immanuel Quickley: 2+,yes Alperen Sengun: 2+,yes Amen Thompson: 2+,yes Tyrese Maxey: 4+,yes OG Anunoby: 2+,yes Jarace Walker: 2+,yes Draymond Green: 2+,yes LeBron James: 4+,yes Andrew Wiggins: 2+,yes Tyler Herro: 2+,yes Immanuel Quickley: 2+,yes Jakob Poeltl: 4+,yes RJ Barrett: 2+,yes Kevin Durant: 2+,yes Kelly Oubre Jr.: 2+,yes Paul George: 2+,yes VJ Edgecombe: 2+,yes Hideki Matsuyama,yes Jon Rahm,yes Matt Fitzpatrick,yes Scottie Scheffler,yes Tommy Fleetwood,yes Xander Schauffele",,KXMVESPORTSMULTIGAMEEXTENDED-S2026A563E05C9EF,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVECROSSCATEGORY-S20263EC488E8B4C-B601329D62B,"yes New York,yes Chicago,yes Brooklyn,yes Golden State,yes Toronto,yes Houston,yes LeBron James: 15+,yes Norman Powell: 15+,yes Scottie Barnes: 10+,yes Kevin Durant: 20+,yes Paul George: 15+,yes Tyrese Maxey: 15+",,KXMVECROSSCATEGORY-S20263EC488E8B4C,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S202667E6579798E-4BD987640DF,"yes New York Y,yes Detroit,yes San Diego,yes CAR Hurricanes,yes BUF Sabres,yes OTT Senators,yes NYI Islanders,no Dallas wins by over 1.5 goals,no Utah wins by over 1.5 goals,no Detroit wins by over 1.5 goals,no New Jersey wins by over 1.5 goals,no Anaheim wins by over 1.5 goals,no St. Louis wins by over 1.5 goals",,KXMVESPORTSMULTIGAMEEXTENDED-S202667E6579798E,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
