Date,symbol,price,return_1d,return_3d,return_5d,volatility_20d,momentum_20d,momentum_60d,ma_50,ma_200,trend_50_200,drawdown,belief_crypto,belief_elections,belief_geopolitics,belief_master_col,belief_mean,b_change,b_momentum_3,b_volatility_3,b_zscore_3
2022-06-16,QQQ,264.62677001953125,-0.040346273893566,-0.01459646227983,-0.0935537109219831,0.023608597993945,-0.0678366675700247,-0.2397186588422821,304.06540344238283,346.8554814147949,-42.790077972412064,-0.3265452148292409,,,,belief_elections,,,,,
2022-06-17,QQQ,267.844482421875,0.0121594364852288,-0.0044218786688763,-0.048989347852163,0.0238495845211611,-0.0514195804868463,-0.219253587924271,302.53316284179687,346.345930480957,-43.81276763916014,-0.3183563841432836,,,,belief_elections,,,,,
2022-06-21,QQQ,274.60211181640625,0.0252296755693008,-0.004171271931936,0.0225492017657349,0.024631964121848,-0.0244549709184832,-0.2169601055405297,301.1196936035156,345.8710418701172,-44.75134826660161,-0.3011587368613334,,,,belief_elections,,,,,
2022-06-22,QQQ,274.2015686035156,-0.001458631218242,0.0361822750709526,0.0192074149444572,0.0242823086613042,-0.0418104833712946,-0.2174494723532177,299.79474609375,345.3884666442871,-45.59372055053712,-0.3021780885443432,,,,belief_elections,,,,,
2022-06-23,QQQ,278.2852478027344,0.0148929826332377,0.0389806998690172,0.009185408394758,0.0241063372369818,-0.0064143382016448,-0.2178960554094405,298.7125561523437,344.9236871337891,-46.211130981445365,-0.2917854389359413,,,,belief_elections,,,,,
2022-06-24,QQQ,287.8203125,0.0342636369428561,0.048135830406254,0.087646244099782,0.0251318063528644,0.0134462506190788,-0.2047837279455826,297.8491497802734,344.5130435180664,-46.66389373779299,-0.2675194323379982,,,,belief_elections,,,,,
2022-06-27,QQQ,285.71014404296875,-0.007331548071442,0.0419712239359726,0.0667016227459709,0.0243798623552378,-0.0211067213926369,-0.2017972829485248,296.8089788818359,344.0982124328613,-47.28923355102541,-0.2728896488312093,,,,belief_elections,,,,,
2022-06-28,QQQ,277.0055236816406,-0.0304666129040872,-0.0045986056795971,0.0087523429784883,0.0239058121523876,-0.0809280757118873,-0.2164034323863587,295.7491680908203,343.6538491821289,-47.90468109130859,-0.2950422384388238,,,,belief_elections,,,,,
2022-06-29,QQQ,277.2593994140625,0.0009165006135893,-0.0366927302461931,0.0111517626471655,0.0239292161950769,-0.0776391424145023,-0.21418964514816,294.6893627929687,343.21201828002927,-48.52265548706055,-0.2943961442177984,,,,belief_elections,,,,,
2022-06-30,QQQ,273.820556640625,-0.0124029799556114,-0.0416141591407956,-0.0160435782973096,0.0239953712747207,-0.0822916504724087,-0.2395918116907176,293.41315490722656,342.75819076538085,-49.34503585815429,-0.3031477346976673,,,,belief_elections,,,,,
2022-07-01,QQQ,275.6278991699219,0.0066004632795664,-0.0049732745160058,-0.0423611982913059,0.0229932762541531,-0.1008577604568456,-0.2171911769562106,292.2715771484375,342.2998466491699,-50.02826950073245,-0.2985481869092565,,,,belief_elections,,,,,
2022-07-05,QQQ,280.3465576171875,0.0171196691680206,0.0111345484035858,-0.0187728246182767,0.0229458377361955,-0.0610335606237387,-0.1861191544261258,291.3620538330078,341.8638328552246,-50.5017790222168,-0.2865395639318348,,,,belief_elections,,,,,
2022-07-06,QQQ,282.1441955566406,0.0064121990822081,0.0303981520530614,0.0185507920806149,0.0230000935081606,-0.0581500325791036,-0.1828434531054031,290.65912170410155,341.45857040405275,-50.7994486999512,-0.2819647135784867,,,,belief_elections,,,,,
2022-07-07,QQQ,288.1817321777344,0.0213987624632232,0.0455463073426873,0.0393939133777041,0.0235040330626875,-0.046222818179697,-0.1535243766242067,289.9954248046875,341.1210195922852,-51.12559478759766,-0.2665996470441403,,,,belief_elections,,,,,
2022-07-08,QQQ,288.54327392578125,0.0012545616452326,0.0292377990236867,0.0537677574897308,0.0234835136868998,-0.0381035667437066,-0.131925885182132,289.5815576171875,340.78308837890626,-51.20153076171874,-0.2656795510907218,,,,belief_elections,,,,,
2022-07-11,QQQ,282.3786315917969,-0.0213647064099301,0.0008309085880491,0.0244921956093902,0.0232081866681983,-0.0327469034881805,-0.1468682039417471,289.05180725097654,340.3977015686035,-51.34589431762697,-0.2813680918924767,,,,belief_elections,,,,,
2022-07-12,QQQ,279.6432189941406,-0.0096870382232411,-0.0296289189431607,-0.0025088184746226,0.0219122526430222,-0.0070966642297414,-0.1719640395049286,288.2479565429687,339.9820547485352,-51.73409820556645,-0.288329506654755,,,,belief_elections,,,,,
